score,date,msg_count,word_count,category,topic,kept
4,2024-04-02,3,105,basic programming question,,False
4,2024-10-25,6,104,home,resume blurb,True
4,2025-01-04,2,219,basic programming question,,False
4,2025-01-04,1,54,basic programming question,,False
4,2025-01-04,1,64,basic programming question,,False
4,2025-01-05,1,80,basic programming question,,False
4,2025-01-05,3,70,basic programming question,,False
4,2025-01-05,1,78,basic programming question,,False
4,2025-01-10,1,72,basic programming question,,False
4,2025-01-10,1,69,basic programming question,,False
4,2025-01-18,6,164,basic programming question,,False
4,2025-01-18,1,77,basic programming question,,False
4,2025-01-18,5,103,basic programming question,,False
4,2025-01-19,1,173,basic programming question,,False
4,2025-01-19,1,208,basic programming question,,False
4,2025-01-19,1,67,basic programming question,,False
4,2025-01-20,3,244,basic programming question,,False
4,2025-01-24,2,106,basic programming question,,False
4,2025-01-24,1,307,basic programming question,,False
4,2025-01-24,1,153,basic programming question,,False
4,2025-01-24,3,66,basic programming question,,False
4,2025-01-28,4,192,basic programming question,,False
4,2025-01-28,1,340,basic programming question,,False
4,2025-01-31,4,315,basic programming question,,False
4,2025-01-31,2,156,basic programming question,,False
4,2025-01-31,3,71,basic programming question,,False
4,2025-02-03,2,196,basic programming question,,False
4,2025-02-05,5,68,past project docs,brier-fyi names,True
4,2025-06-28,1,1562,basic programming question,,False
4,2025-08-09,4,63,hawthorns,butc light magic,True
4,2025-08-28,1,35,basic programming question,,False
4,2025-08-28,1,63,basic research question,,False
4,2025-08-30,4,58,basic creative prompt,,False
4,2025-09-16,1,53,basic research question,,False
4,2025-09-20,5,1098,troubleshooting,tailscale issues,True
4,2025-09-30,1,39,troubleshooting,unlinked files,True
4,2025-09-30,1,84,basic research question,,False
4,2025-10-09,2,61,ongoing research,valve index,True
4,2025-10-14,1,32,basic research question,,False
4,2025-10-17,2,692,basic programming question,,False
4,2025-10-24,3,439,past project docs,market embeddings,True
4,2025-10-25,4,418,past project docs,market embeddings,True
4,2025-12-09,4,83,ongoing research,indianapolis grocery stores,True
4,2026-01-23,4,98,ongoing research,manifold cosmetics,True
4,2026-01-28,2,125,basic programming question,,False
4,2026-02-02,3,70,past project docs,nice numbers theory,True
4,2026-02-15,1,58,basic research question,,False
4,2026-03-07,2,110,basic creative prompt,,False
4,2026-03-20,1,86,wishlist,3d photography repo,True
4,2024-01-02,4,148,basic programming question,,False
4,2024-01-14,1,55,basic programming question,,False
4,2024-02-05,3,160,basic programming question,,False
4,2023-10-14,4,247,basic programming question,,False
4,2023-11-01,4,128,basic programming question,,False
4,2023-12-12,1,65,basic programming question,,False
4,2023-10-13,2,132,basic programming question,,False
4,2023-10-13,2,215,basic programming question,,False
4,2024-01-03,3,108,basic programming question,,False
4,2024-07-21,1,58,basic programming question,,False
4,2023-11-30,3,210,basic programming question,,False
4,2024-08-06,3,90,basic programming question,,False
4,2024-02-18,5,80,basic programming question,,False
4,2024-07-21,3,66,basic programming question,,False
4,2023-10-20,3,146,basic programming question,,False
4,2024-01-07,1,52,basic programming question,,False
4,2024-07-06,3,165,basic programming question,,False
3,2024-08-04,1,57,basic programming question,,False
3,2024-01-07,3,140,basic programming question,,False
3,2024-08-04,1,40,basic programming question,,False
3,2023-10-13,1,109,basic programming question,,False
3,2024-01-06,3,147,basic programming question,,False
3,2024-07-21,1,46,basic programming question,,False
3,2024-04-05,1,39,basic programming question,,False
3,2024-02-02,2,77,basic programming question,,False
3,2024-01-28,3,86,basic programming question,,False
3,2023-11-18,2,41,basic creative prompt,,False
3,2024-07-07,1,43,basic programming question,,False
3,2023-10-01,1,31,basic creative prompt,,False
3,2024-07-19,2,43,basic programming question,,False
3,2023-10-02,5,64,basic creative prompt,,False
3,2024-12-18,4,42,basic programming question,,False
3,2024-12-31,2,45,basic programming question,,False
3,2024-12-31,1,43,basic programming question,,False
3,2025-01-17,1,139,basic programming question,,False
3,2025-01-18,1,35,basic programming question,,False
3,2025-01-19,2,72,basic programming question,,False
3,2025-01-24,1,49,basic programming question,,False
3,2025-01-24,1,96,basic programming question,,False
3,2025-01-28,6,177,basic programming question,,False
3,2025-01-29,1,231,basic programming question,,False
3,2025-01-31,6,176,basic programming question,,False
3,2025-02-02,3,186,basic programming question,,False
3,2025-02-02,1,123,basic programming question,,False
3,2025-02-14,1,60,basic programming question,,False
3,2025-06-19,3,35,basic programming question,,False
3,2025-08-07,2,59,basic programming question,,False
3,2025-08-09,2,48,basic creative prompt,,False
3,2025-08-22,1,31,basic programming question,,False
3,2025-08-28,7,119,basic programming question,,False
3,2025-09-13,1,89,basic programming question,,False
3,2025-09-17,2,57,home,south pasture landfill,True
3,2025-09-21,2,74,past project docs,prometheus migration,True
3,2025-10-18,1,75,basic programming question,,False
3,2025-10-22,1,39,basic programming question,,False
3,2025-10-23,2,144,past project docs,market embeddings,True
3,2025-11-08,1,46,basic programming question,,False
3,2026-01-04,1,30,troubleshooting,wine vulkan timeout,True
3,2026-01-21,2,46,past project docs,brier-fyi,True
3,2026-02-21,1,40,basic research question,,False
3,2026-03-17,3,101,basic research question,,False
3,2026-03-31,1,35,ongoing research,jane numbers,True
3,2023-11-29,1,37,basic programming question,,False
3,2024-01-07,4,48,basic programming question,,False
3,2024-01-08,1,38,basic programming question,,False
3,2024-01-03,1,37,basic programming question,,False
3,2024-05-15,4,60,ongoing project,fat-safe filenames,True
3,2024-01-31,2,856,basic programming question,,False
3,2024-02-18,1,41,basic programming question,,False
3,2024-01-31,2,106,basic programming question,,False
3,2024-08-09,3,19,basic research question,,False
3,2024-01-01,4,160,basic programming question,,False
3,2024-07-19,1,42,basic programming question,,False
3,2023-10-19,3,96,basic programming question,,False
3,2023-11-09,4,75,basic research question,,False
3,2023-10-10,2,66,basic programming question,,False
3,2024-07-06,1,41,basic programming question,,False
3,2024-08-03,1,36,basic programming question,,False
3,2024-01-01,2,85,basic programming question,,False
2,2023-11-18,4,69,basic creative prompt,,False
2,2024-01-03,1,30,basic programming question,,False
2,2024-04-01,4,88,basic programming question,,False
2,2023-11-20,3,41,ongoing research,soundcloud comments,True
2,2024-07-21,4,156,basic programming question,,False
2,2024-01-12,5,75,basic programming question,,False
2,2024-01-01,11,274,basic programming question,,False
2,2024-12-31,1,42,basic programming question,,False
2,2024-12-31,1,49,basic programming question,,False
2,2024-12-31,5,84,basic programming question,,False
2,2025-01-05,3,55,basic programming question,,False
2,2025-01-05,5,45,basic programming question,,False
2,2025-01-05,2,79,basic programming question,,False
2,2025-01-07,1,40,troubleshooting,nix issues,True
2,2025-01-18,10,45,basic programming question,,False
2,2025-01-19,6,24,basic programming question,,False
2,2025-01-25,2,50,basic programming question,,False
2,2025-01-28,2,53,basic programming question,,False
2,2025-01-31,3,50,basic programming question,,False
2,2025-01-31,3,103,basic programming question,,False
2,2025-02-04,5,58,basic programming question,,False
2,2025-07-30,2,33,basic programming question,,False
2,2025-08-09,4,54,hawthorns,butc colored glass,True
2,2025-08-27,2,90,basic programming question,,False
2,2025-09-03,3,55,basic programming question,,False
2,2025-09-11,2,45,basic research question,,False
2,2025-09-16,3,49,reference notes,blender,True
2,2025-09-18,1,41,basic research question,,False
2,2025-09-21,3,75,basic research question,,False
2,2025-10-10,1,37,basic research question,,False
2,2025-10-16,1,41,wishlist,broader spellcheck,True
2,2025-10-21,2,46,wishlist,pid process watcher,True
2,2025-11-02,1,32,troubleshooting,gpu process monitoring,True
2,2026-01-16,2,52,ongoing research,royal caribbean ships,True
2,2026-02-24,2,39,wishlist,screen recording,True
2,2026-03-24,2,60,ongoing research,arm server chips,True
2,2024-07-14,3,173,ongoing project,nice true ip,True
2,2024-01-14,3,268,basic programming question,,False
2,2024-05-05,2,69,reference notes,raid add drive,True
2,2024-08-04,2,35,basic programming question,,False
2,2023-10-22,2,249,basic programming question,,False
2,2024-01-12,1,59,basic programming question,,False
2,2024-01-14,1,94,basic programming question,,False
2,2024-05-10,7,82,basic programming question,,False
2,2024-02-02,2,45,basic programming question,,False
2,2024-07-12,3,27,basic programming question,,False
2,2024-01-07,1,62,basic programming question,,False
1,2024-01-07,3,15,basic programming question,,False
1,2024-02-02,2,36,basic programming question,,False
1,2024-01-14,2,76,basic programming question,,False
1,2024-03-19,2,74,basic programming question,,False
1,2024-01-01,1,55,basic programming question,,False
1,2023-12-14,2,21,basic programming question,,False
1,2023-10-19,3,20,basic programming question,,False
1,2024-01-14,6,90,basic programming question,,False
1,2024-12-18,2,11,ongoing research,location comparisons,True
1,2024-12-18,2,38,basic programming question,,False
1,2024-12-30,3,15,basic programming question,,False
1,2024-12-30,2,14,basic programming question,,False
1,2024-12-30,9,40,basic programming question,,False
1,2024-12-31,3,56,basic programming question,,False
1,2024-12-31,4,40,basic programming question,,False
1,2024-12-31,3,34,basic programming question,,False
1,2024-12-31,2,28,basic programming question,,False
1,2025-01-05,3,66,basic programming question,,False
1,2025-01-17,2,32,wishlist,indexeddb export,True
1,2025-01-17,3,23,basic programming question,,False
1,2025-01-19,2,54,basic programming question,,False
1,2025-01-19,3,14,basic programming question,,False
1,2025-01-19,3,25,basic programming question,,False
1,2025-01-20,2,36,basic programming question,,False
1,2025-01-20,3,20,home,trade associations,True
1,2025-01-26,2,119,basic programming question,,False
1,2025-02-03,2,20,basic programming question,,False
1,2025-02-26,4,43,basic research question,,False
1,2025-09-10,3,54,basic research question,,False
1,2025-10-06,3,43,basic research question,,False
1,2025-10-16,3,56,ongoing research,journal popularity,True
1,2024-01-02,3,39,basic programming question,,False
1,2024-01-07,2,98,basic programming question,,False
1,2024-01-13,3,32,basic programming question,,False
1,2024-01-12,1,46,basic programming question,,False
1,2024-02-10,1,22,basic programming question,,False
1,2024-03-18,4,71,basic programming question,,False
1,2024-05-31,4,71,basic programming question,,False
1,2023-11-29,2,26,basic programming question,,False
1,2024-08-04,1,25,basic programming question,,False
1,2024-01-31,2,19,basic programming question,,False
1,2023-10-25,2,45,basic programming question,,False
1,2023-12-02,3,26,basic programming question,,False
1,2024-01-12,2,86,basic programming question,,False
1,2023-12-01,4,46,basic programming question,,False
0,2024-02-11,2,27,basic programming question,,False
0,2023-10-14,2,18,basic programming question,,False
0,2023-12-12,2,47,basic programming question,,False
0,2023-11-01,1,26,basic programming question,,False
0,2024-01-10,2,34,basic programming question,,False
0,2024-07-30,2,13,basic programming question,,False
0,2024-07-08,2,15,basic programming question,,False
0,2024-07-07,2,18,basic programming question,,False
0,2023-11-18,2,11,basic creative prompt,,False
0,2023-10-19,1,23,basic programming question,,False
0,2024-07-30,2,17,basic programming question,,False
0,2024-09-06,2,37,troubleshooting,nix issues,True
0,2024-12-31,1,22,basic programming question,,False
0,2024-12-31,2,21,basic programming question,,False
0,2024-12-31,2,73,basic programming question,,False
0,2025-01-04,4,21,basic programming question,,False
0,2025-01-05,1,29,basic programming question,,False
0,2025-01-10,3,11,basic programming question,,False
0,2025-01-17,2,8,basic programming question,,False
0,2025-01-17,2,26,basic programming question,,False
0,2025-01-18,3,31,basic programming question,,False
0,2025-01-19,1,21,basic programming question,,False
0,2025-01-24,4,24,basic programming question,,False
0,2025-01-24,2,13,basic programming question,,False
0,2025-01-26,2,57,basic programming question,,False
0,2025-01-30,2,15,basic creative prompt,,False
0,2025-02-02,1,23,basic programming question,,False
0,2025-02-05,4,64,basic programming question,,False
0,2025-06-13,2,38,basic creative prompt,,False
0,2025-08-02,2,14,basic programming question,,False
0,2025-08-20,0,0,blank,,False
0,2025-08-26,2,58,basic programming question,,False
0,2025-09-09,2,31,basic programming question,,False
0,2025-09-13,2,16,basic programming question,,False
0,2025-09-13,2,32,basic programming question,,False
0,2025-10-01,0,0,blank,,False
0,2025-10-14,0,0,blank,,False
0,2025-10-17,2,17,basic programming question,,False
0,2025-10-24,2,32,basic programming question,,False
0,2025-10-27,2,7,basic research question,,False
0,2024-01-28,2,18,basic creative prompt,,False
0,2024-02-11,2,13,basic programming question,,False
0,2024-02-11,2,22,basic programming question,,False
0,2024-03-01,2,14,basic research question,,False
0,2023-11-04,2,8,basic creative prompt,,False
0,2023-11-18,2,24,basic creative prompt,,False
-1,2024-07-14,1,14,basic programming question,,False
-1,2024-01-31,4,52,basic programming question,,False
-1,2024-01-07,1,23,basic programming question,,False
-1,2024-08-04,1,20,basic programming question,,False
-1,2024-12-31,1,8,basic programming question,,False
-1,2025-01-01,1,20,basic research question,,False
-1,2025-01-04,1,29,basic programming question,,False
-1,2025-01-18,1,21,basic programming question,,False
-1,2025-01-18,1,26,basic programming question,,False
-1,2025-01-19,1,22,basic programming question,,False
-1,2025-01-26,1,16,basic programming question,,False
-1,2025-08-07,1,27,basic programming question,,False
-1,2025-08-23,1,18,basic programming question,,False
-1,2025-09-02,1,26,past project docs,notion graph,True
-1,2025-09-10,1,20,ongoing research,unwrappeddata.org,True
-1,2025-10-02,1,20,reference notes,blender,True
-1,2024-01-01,2,16,basic programming question,,False
-1,2024-01-14,1,23,basic programming question,,False
-1,2024-05-10,2,10,basic programming question,,False
-1,2024-01-03,1,17,basic programming question,,False
-1,2024-08-04,1,27,basic programming question,,False
-1,2024-01-01,1,15,basic research question,,False
-1,2024-07-14,1,20,basic programming question,,False
-1,2024-02-11,1,28,basic programming question,,False
-1,2024-07-14,1,16,basic programming question,,False
-2,2024-01-01,2,76,basic programming question,,False
-2,2024-07-07,1,19,basic programming question,,False
-2,2024-01-10,1,8,basic programming question,,False
-2,2024-01-14,1,14,basic programming question,,False
-2,2023-12-02,1,11,basic programming question,,False
-2,2023-10-27,1,13,basic programming question,,False
-2,2025-01-04,1,17,basic programming question,,False
-2,2025-01-28,1,13,basic programming question,,False
-2,2025-06-28,1,17,basic research question,,False
-2,2025-08-28,1,19,ongoing research,passmark multithread,True
-2,2025-08-29,1,16,basic research question,,False
-2,2025-08-30,1,16,basic research question,,False
-2,2025-08-31,1,16,basic research question,,False
-2,2025-09-09,1,17,ongoing research,farmland rent hedge,True
-2,2025-09-21,1,19,wishlist,dockerfile finder,True
-2,2024-07-07,1,15,basic programming question,,False
-2,2023-10-19,1,12,basic programming question,,False
-2,2024-01-03,2,62,basic programming question,,False
-2,2023-10-19,1,17,basic programming question,,False
-2,2024-07-06,1,15,basic research question,,False
-2,2024-08-04,1,23,basic programming question,,False
-2,2024-02-18,1,12,basic programming question,,False
-2,2024-01-07,1,22,basic programming question,,False
-2,2023-12-17,1,17,basic programming question,,False
-3,2024-07-31,1,8,basic programming question,,False
-3,2024-02-13,1,9,basic research question,,False
-3,2024-02-18,1,14,basic programming question,,False
-3,2023-10-24,1,12,basic programming question,,False
-3,2023-10-14,1,11,basic programming question,,False
-3,2024-07-14,1,7,basic programming question,,False
-3,2024-01-28,1,5,basic programming question,,False
-3,2024-02-18,1,10,basic programming question,,False
-3,2024-10-31,1,13,basic programming question,,False
-3,2024-12-18,1,16,basic programming question,,False
-3,2024-12-18,1,8,basic programming question,,False
-3,2024-12-30,1,8,basic programming question,,False
-3,2024-12-31,1,12,basic programming question,,False
-3,2024-12-31,1,9,basic programming question,,False
-3,2024-12-31,1,7,basic programming question,,False
-3,2024-12-31,1,9,basic programming question,,False
-3,2024-12-31,1,3,basic programming question,,False
-3,2025-01-04,1,11,basic programming question,,False
-3,2025-01-04,1,5,basic programming question,,False
-3,2025-01-05,1,26,basic programming question,,False
-3,2025-01-18,1,4,basic programming question,,False
-3,2025-01-19,1,7,basic programming question,,False
-3,2025-01-19,1,7,basic programming question,,False
-3,2025-01-21,1,13,basic programming question,,False
-3,2025-01-29,1,15,basic programming question,,False
-3,2025-02-05,1,5,basic programming question,,False
-3,2025-02-06,1,12,basic programming question,,False
-3,2025-07-19,1,8,basic programming question,,False
-3,2025-07-29,1,10,basic programming question,,False
-3,2025-08-07,1,13,troubleshooting,io monitor,True
-3,2025-09-10,1,10,basic research question,,False
-3,2025-09-13,1,12,basic programming question,,False
-3,2025-09-15,1,6,basic research question,,False
-3,2025-09-15,1,17,basic research question,,False
-3,2026-03-13,1,13,basic research question,,False
-3,2026-03-28,1,10,basic research question,,False
-3,2024-01-14,1,6,basic programming question,,False
-3,2023-10-04,1,19,basic research question,,False
-3,2023-10-13,1,10,basic programming question,,False
-3,2023-10-23,1,6,basic programming question,,False
-3,2024-02-10,1,6,basic programming question,,False
-3,2023-10-19,1,4,basic programming question,,False
-3,2024-01-09,1,13,basic programming question,,False
-3,2024-01-31,1,10,basic programming question,,False
-4,2024-12-31,1,7,basic programming question,,False
-4,2025-01-17,1,9,basic programming question,,False
-4,2025-09-03,1,9,basic programming question,,False
-4,2025-09-30,1,10,basic programming question,,False
