Date,End,Type,Miles
2022-07-01,2022-08-01,Work,2093
2022-08-01,2022-09-01,Work,721
2022-09-01,2022-10-01,Work,755
2022-10-01,2022-11-01,Work,838
2022-11-01,2022-12-01,Work,1150
2022-12-01,2023-01-01,Work,687
2023-01-01,2023-02-01,Work,1112
2023-02-01,2023-03-01,Work,825
2023-03-01,2023-04-01,Work,0
2023-04-01,2023-05-01,Work,418
2023-05-01,2023-06-01,Work,1359
2023-06-01,2023-07-01,Work,1972
2023-07-01,2023-08-01,Work,1661
2023-08-01,2023-09-01,Work,1978
2023-09-01,2023-10-01,Work,1019
2023-10-01,2023-11-01,Work,1449
2023-11-01,2023-12-01,Work,1213
2023-12-01,2024-01-01,Work,1001
2024-01-01,2024-02-01,Work,982
2024-02-01,2024-03-01,Work,1878
2024-03-01,2024-04-01,Work,1561
2024-04-01,2024-05-01,Work,948
2024-05-01,2024-06-01,Work,1827
2024-06-01,2024-07-01,Work,1905
2024-07-01,2024-08-01,Work,2567
2024-08-01,2024-09-01,Work,2001
2024-09-01,2024-10-01,Work,1222
2024-10-01,2024-11-01,Work,1604
2024-11-01,2024-12-01,Work,905
2024-12-01,2025-01-01,Work,590
